NoInference,SpecSize,NoLensContext,NaiveStrategy,SpecsVisited,ComputationTime,ExpansionsPerformed,ExpansionsInferred,ExamplesRequired,Test,MaxExampleCount,SpecsVisitedNoInference,NoInferenceNoLC
$<10$,85,$<10$,Timeout,1,$<10$,0,0,0,cust/date-probs,3,1,$<10$
10,112,$<10$,Timeout,1,$<10$,4,4,0,cust/cap-prob,2,53,10
Timeout,122,2070,Timeout,1,2090,14,14,0,cust/2-cap-prob,2703,Timeout,Timeout
290,143,20,Timeout,24,20,7,5,13,ff/extr-fname-err,13,206,210
Timeout,149,10,Timeout,11,10,5,3,2,ff/extr-fname,12,Timeout,Timeout
$<10$,150,$<10$,Timeout,1,$<10$,2,2,0,ff/extr-quant,3,5,$<10$
$<10$,171,$<10$,Timeout,1,$<10$,2,2,0,ff/extr-num,4,5,$<10$
10,201,$<10$,Timeout,1,$<10$,2,2,0,aug/activemq,3,6,420
Timeout,208,10,Timeout,2,10,5,5,0,cust/bib-prob,16,Timeout,Timeout
3810,233,$<10$,Timeout,1,$<10$,5,5,0,aug/aptcrngsec,3,2542,Timeout
Timeout,235,30,Timeout,58,40,34,33,0,aug/xml-l1,30,Timeout,Timeout
Timeout,239,$<10$,Timeout,1,$<10$,8,8,0,aug/alias,3,Timeout,Timeout
Timeout,244,20,Timeout,13,20,12,12,3,cust/addr-probs,10,Timeout,Timeout
Timeout,246,$<10$,Timeout,1,$<10$,8,8,0,aug/apt-upd-mgr,4,Timeout,Timeout
2780,252,$<10$,Timeout,1,$<10$,5,5,0,aug/approx,3,2277,Timeout
Timeout,269,280,Timeout,1,20,20,20,0,aug/aptprefs,17,Timeout,Timeout
600,273,$<10$,Timeout,1,$<10$,5,5,0,aug/afs-cellalias,3,942,Timeout
Timeout,285,20,Timeout,1,20,6,6,0,aug/aptsources,1,Timeout,Timeout
3150,303,20,Timeout,1,10,2,2,0,aug/access,13,9,Timeout
Timeout,311,Timeout,Timeout,121,2680,34,33,0,aug/xml,700,Timeout,Timeout
Timeout,317,130,Timeout,2,10,21,21,0,aug/anacron,3,Timeout,Timeout
2480,318,50,Timeout,1,$<10$,3,3,0,aug/hosts,15,67,Timeout
Timeout,322,20,Timeout,1,10,10,10,0,aug/auth-keys,31,Timeout,Timeout
Timeout,383,Timeout,Timeout,1,10,11,11,0,aug/aptconf,6,Timeout,Timeout
Timeout,383,Timeout,Timeout,1,10,11,11,0,aug/aptconf-l1,6,Timeout,Timeout
Timeout,443,120,Timeout,1,110,14,14,0,aug/cron,3,Timeout,Timeout